	TCGA	miRNA	5shift	3shift	5frac	3frac
2265	TCGA-CESC	hsa-miR-200c-3p	0	0	0.9979831195878549	0.6547510264751442
2210	TCGA-CESC	hsa-miR-203a-3p	0	0	0.6196198551635974	0.8419045113770844
2245	TCGA-CESC	hsa-miR-205-5p	0	0	1.0	0.49904088377360867
2240	TCGA-CESC	hsa-miR-20a-5p	0	0	1.0	0.9516483516483517
2266	TCGA-CESC	hsa-miR-21-3p	0	+1	0.9925925925925927	0.6764295676429609
2238	TCGA-CESC	hsa-miR-21-5p	0	0	0.998609631498509	0.7559872359591336
2257	TCGA-CESC	hsa-miR-210-3p	0	0	0.9931328439497987	0.8418754548289841
2216	TCGA-CESC	hsa-miR-22-3p	0	0	0.9903851135033209	0.9810847055888215
2211	TCGA-CESC	hsa-miR-223-3p	0	0	0.9231252947649742	0.5806878306878309
2256	TCGA-CESC	hsa-miR-23a-3p	0	0	0.9821949252435016	0.33421792069934325
2268	TCGA-CESC	hsa-miR-23b-3p	0	0	0.9730639730639732	0.4426456071076012
2272	TCGA-CESC	hsa-miR-24-3p	0	0	0.9966367713004484	0.7059341123468884
2261	TCGA-CESC	hsa-miR-25-3p	0	0	0.9990509452585226	0.915314706324173
2270	TCGA-CESC	hsa-miR-26a-5p	0	0	1.0	0.4331373989713414
2209	TCGA-CESC	hsa-miR-26b-5p	0	+1	1.0	0.7442181567138416
2260	TCGA-CESC	hsa-miR-27a-3p	0	-1	1.0	0.5044148737719047
2221	TCGA-CESC	hsa-miR-27b-3p	0	0	0.9934930084452445	0.5960174772580844
2203	TCGA-CESC	hsa-miR-28-3p	0	0	0.9263071222725398	0.6719565524051321
2249	TCGA-CESC	hsa-miR-29a-3p	0	-1	0.86974002832732	0.6675594600385731
2259	TCGA-CESC	hsa-miR-29b-3p	0	0	0.9470588235294118	0.5356738391845987
2255	TCGA-CESC	hsa-miR-29c-3p	0	-1	1.0	0.4518987341772146
2195	TCGA-CESC	hsa-miR-30a-3p	0	0	0.774700598802395	0.4717170270657318
2254	TCGA-CESC	hsa-miR-30a-5p	0	0	0.9956955242236569	0.7358194545015685
2237	TCGA-CESC	hsa-miR-30b-5p	0	0	1.0	0.7842137466857023
2191	TCGA-CESC	hsa-miR-30d-5p	0	0	1.0	0.79482344874871
2231	TCGA-CESC	hsa-miR-30e-3p	0	0	0.9800477119930603	0.45169566263128397
2232	TCGA-CESC	hsa-miR-30e-5p	0	+1	0.8826041196812484	0.3107965984554847
2207	TCGA-CESC	hsa-miR-320a	0	0	0.8971648246035557	0.603677221654749
2218	TCGA-CESC	hsa-miR-374a-3p	0	0	1.0	0.8063862138874809
2202	TCGA-CESC	hsa-miR-375	0	0	0.9644533501688116	0.9156857523302273
2248	TCGA-CESC	hsa-miR-378a-3p	0	0	0.9393939393939396	0.7606635071090041
2219	TCGA-CESC	hsa-miR-379-5p	0	0	1.0	0.7391304347826086
2223	TCGA-CESC	hsa-miR-451a	0	-1	1.0	0.49071038251366156
2213	TCGA-CESC	hsa-miR-532-5p	0	0	0.9743359655419956	0.9058038485412787
2192	TCGA-CESC	hsa-miR-9-5p	0	0	0.9974744485221577	0.5695904954499479
2225	TCGA-CESC	hsa-miR-92a-3p	0	0	0.9875096079938507	0.9408169716553697
2235	TCGA-CESC	hsa-miR-93-5p	0	0	0.9936321483771253	0.9619125973963121
2224	TCGA-CESC	hsa-miR-99a-5p	0	-1	0.9851851851851852	0.8185286753308699
2247	TCGA-CESC	hsa-miR-99b-5p	0	0	0.9971920628977913	0.637763797085295
1909	TCGA-CHOL	hsa-let-7a-5p	0	0	0.9982257891696482	0.5329555270159061
1919	TCGA-CHOL	hsa-let-7b-5p	0	-2	1.0	0.40423192557296106
